customer_id,first_name,last_name,age,phone_number,monthly_income,approved_limit,userid
1,Aaron,Garcia,63,9629317944,50000,4500000,1
2,Abbey,Gonzalez,20,9278790909,33000,1400000,2
3,Abbie,Rodrigues,47,9775988997,193000,2500000,3
4,Abby,Fernandez,60,9612343117,117000,2600000,4
5,Abdul,Lopez,40,9175345317,219000,1000000,5
6,Abe,Martinez,28,9763703492,129000,1900000,6
7,Abel,Sanchez,65,9878469188,73000,2600000,7
8,Abigail,Perez,20,9312500421,268000,2200000,8
9,Abraham,Gomez,29,9419749629,163000,3100000,9
10,Abram,Martin,37,9748307760,89000,1000000,10
11,Ada,Jimenez,27,9114084983,85000,2400000,11
12,Adah,Ruiz,49,9377510369,289000,2600000,12
13,Adalberto,Hernandez,41,9275637027,229000,2700000,13
14,Adaline,Diaz,65,9519253076,253000,3900000,14
15,Adam,Moreno,55,9998047318,56000,2200000,15
16,Adan,Alvarez,35,9149386281,230000,4200000,16
17,Addie,Muñoz,51,9362421503,168000,2500000,17
18,Adela,Romero,68,9129350558,204000,2600000,18
19,Adelaida,Alonso,58,9556780762,45000,900000,19
20,Adelaide,Gutierrez,40,9981571392,269000,3600000,20
21,Adele,Navarro,66,9128707865,109000,4100000,21
22,Adelia,Torres,38,9755130143,150000,1200000,22
23,Adelina,Dominguez,64,9157807459,184000,2800000,23
24,Adeline,Vazquez,29,9707391933,142000,1300000,24
25,Adell,Ramos,26,9833643293,96000,4900000,25
26,Adella,Gil,23,9860014213,43000,2500000,26
27,Adelle,Ramirez,69,9613567377,202000,1400000,27
28,Adena,Serrano,43,9850668363,108000,2400000,28
29,Adina,Blanco,44,9376270084,278000,2200000,29
30,Adolfo,Molina,63,9191813781,287000,4600000,30
31,Adolph,Suarez,59,9365435418,86000,3000000,31
32,Adria,Morales,34,9261139969,169000,1100000,32
33,Adrian,Ortega,45,9957610104,138000,4000000,33
34,Adriana,Delgado,31,9528688972,112000,3700000,34
35,Adriane,Castro,37,9701341235,180000,2500000,35
36,Adrianna,Ortiz,65,9150167494,111000,1600000,36
37,Adrianne,Rubio,36,9563808129,282000,1300000,37
38,Adrien,Marin,34,9488986811,229000,4800000,38
39,Adriene,Sanz,21,9669953880,33000,3200000,39
40,Adrienne,Nuñez,36,9630748682,169000,4600000,40
41,Afton,Iglesias,40,9883645168,268000,1300000,41
42,Agatha,Medina,32,9832111103,229000,1600000,42
43,Agnes,Garrido,31,9545534969,172000,3100000,43
44,Agnus,Santos,47,9413223979,101000,1300000,44
45,Agripina,Castillo,27,9409905029,70000,2000000,45
46,Agueda,Cortes,60,9831635836,168000,1900000,46
47,Agustin,Lozano,64,9518442246,202000,4100000,47
48,Agustina,Guerrero,25,9891249533,192000,1500000,48
49,Ahmad,Cano,61,9625940161,57000,4700000,49
50,Ahmed,Prieto,57,9917217682,122000,5000000,50
51,Ai,Mendez,57,9110300525,146000,2000000,51
52,Aida,Calvo,60,9864625224,294000,3700000,52
53,Aide,Cruz,54,9779254592,247000,4100000,53
54,Aiko,Gallego,56,9575734616,242000,4200000,54
55,Aileen,Vidal,25,9181511694,243000,2200000,55
56,Ailene,Leon,28,9737140572,268000,4500000,56
57,Aimee,Herrera,65,9665309079,91000,4100000,57
58,Aisha,Marquez,62,9614670209,173000,2800000,58
59,Aja,Peña,64,9408267310,147000,1500000,59
60,Akiko,Cabrera,32,9686201082,73000,3800000,60
61,Akilah,Flores,26,9243583593,166000,2800000,61
62,Al,Campos,47,9149217543,137000,3900000,62
63,Alaina,Vega,35,9992348339,103000,2200000,63
64,Alaine,Diez,55,9758344890,251000,4500000,64
65,Alan,Fuentes,57,9595569782,115000,2900000,65
66,Alana,Carrasco,26,9427347438,115000,900000,66
67,Alane,Caballero,58,9361616072,125000,1900000,67
68,Alanna,Nieto,66,9524176204,125000,3500000,68
69,Alayna,Reyes,66,9268654052,272000,1800000,69
70,Alba,Aguilar,26,9205423253,182000,4500000,70
71,Albert,Pascual,47,9562313349,200000,1400000,71
72,Alberta,Herrero,47,9491724627,262000,2600000,72
73,Albertha,Santana,29,9816789699,37000,1000000,73
74,Albertina,Lorenzo,42,9634762010,97000,4300000,74
75,Albertine,Hidalgo,26,9218601399,179000,2800000,75
76,Alberto,Montero,49,9981075707,156000,3600000,76
77,Albina,Ibañez,52,9974454249,86000,2700000,77
78,Alda,Gimenez,21,9167349806,139000,2800000,78
79,Alden,Ferrer,37,9991320743,98000,1800000,79
80,Aldo,Duran,33,9462704542,124000,4800000,80
81,Alease,Vicente,23,9564591142,173000,1400000,81
